Furets,Le furet comme animal domestique,https://www.bestioles.ca/mammiferes/furet.html
Gaurs,Le gaur est un gros bovidé,https://www.bestioles.ca/mammiferes/gaur.html
Gazelles,La gazelle est du groupe       des antilopes,https://www.bestioles.ca/mammiferes/gazelles.html
Genettes,La genette est nocturne,https://www.bestioles.ca/mammiferes/genettes.html
Girafes,La girafe a le plus long cou du règne       animal,https://www.bestioles.ca/mammiferes/girafe.html
Glouton,Le glouton est un animal rare aussi       appelé carcajou,https://www.bestioles.ca/mammiferes/glouton.html
Gnous,Le gnou est un bovin d'Afrique et pays       chauds environnants,https://www.bestioles.ca/mammiferes/gnous.html
Grizzly,Le grizzly est un ours brun des       territoires du nord-ouest,https://www.bestioles.ca/mammiferes/grizzly.html
Guanacos,Le guanaco est de la       famille du lama,https://www.bestioles.ca/mammiferes/guanaco.html
Hérisson,Les hérissons sont des animaux qui       vivent en Europe,https://www.bestioles.ca/mammiferes/herisson.html
Hermine,Les hermines sont diurnes l'été et       nocturnes l'hiver,https://www.bestioles.ca/mammiferes/hermines.html
Hippopotames,L'hippopotame passe sont       temps dans l'eau,https://www.bestioles.ca/mammiferes/hippopotames.html
Hyènes,La hyène est un charognard       et mène une vie plutôt nocturne,https://www.bestioles.ca/mammiferes/hyene.html
Impala,L'impala est une antilope d'Afrique,https://www.bestioles.ca/mammiferes/impala.html
Isards,Le isard vit en montagne et       en forêt,https://www.bestioles.ca/mammiferes/isards.html
Kodiak,Le kodiak a un bon odorat,https://www.bestioles.ca/mammiferes/kodiak.html
Koudous,Le koudou est un ruminant,https://www.bestioles.ca/mammiferes/koudou.html
Lamas,Les lamas sont des guanacos,https://www.bestioles.ca/mammiferes/lamas.html
Lapin à queue blanche,Sylvilagus floridanus,https://www.bestioles.ca/mammiferes/lapin-a-queue-blanche.html
Lapins,Le lapin est élevé pour sa chair et sa fourrure,https://www.bestioles.ca/mammiferes/lapins.html
Lémuriens,Le lémurien est parent avec le singe et       vit exclusivement à Madagascar,https://www.bestioles.ca/mammiferes/lemuriens.html
Lièvres,"Le lièvre, petit animal des       bois",https://www.bestioles.ca/mammiferes/lievres.html
Lièvres Arctiques,Les lièvres Arctiques sont       les plus gros,https://www.bestioles.ca/mammiferes/lievre-arctique.html
Lièvre d'Amérique,Le lièvre d'Amérique,https://www.bestioles.ca/mammiferes/lievre-amerique.html
Loups,Le loup est un mammifère       carnivore,https://www.bestioles.ca/mammiferes/loups.html
Loutres,La loutre vit dans l'eau et sur terre,https://www.bestioles.ca/mammiferes/loutre.html
Lycaons,Le lycaon est en danger de       disparaître,https://www.bestioles.ca/mammiferes/lycaons.html
Mangouste,La mangouste est carnivore       et s'attaque même aux serpents,https://www.bestioles.ca/mammiferes/mangoustes.html
Martres,"La martre, animal carnassier de la forêt",https://www.bestioles.ca/mammiferes/martre.html
Moufettes,La moufette aussi appelée bête puante,https://www.bestioles.ca/mammiferes/moufettes.html
Mouflons,Le mouflon est un bovide,https://www.bestioles.ca/mammiferes/mouflons.html
Musaraignes,La musaraigne n'est pas un       rongeur,https://www.bestioles.ca/mammiferes/musaraignes.html
Okapi,L'opaki est un animal rare,https://www.bestioles.ca/mammiferes/okapis.html
Ornithorynque,L'ornithorynque ponds des       oeufs,https://www.bestioles.ca/mammiferes/ornithorynque.html
Oryctéropes,L'oryctérope est un       fourmilier,https://www.bestioles.ca/mammiferes/orycteropes.html
